PK_CLIENTE;ID_CLIENTE;TIPO_CLIENTE;TELEFONE
5a8500599e3dfe34316b8d82298531d5363f172f862b2c9789848eda6a5d8b88;10025251;G2;816-455-8733
dc08bfb79ff38c00b736d9507aca333d0c60b569791ff4bfb2185bcfa584f136;10002153;G2;816-455-8733
6dddf0661eb51d6c01246467238c3bf0880e813816d8687529accff4808f76d6;10002155;G1;816-455-8733
6a45cd828bb130a6a4081a1edb3bbe3b288d7ad01439b079b5ccef2099113fa3;10022450;G2;816-455-8733
aff8b29c6cf2ce740bc2f9cc13b6e3461db9238b3aeb422707d16ac5469b4a31;10022490;G2;816-455-8733
abd620db92395a1dae239130876d578e24de71874f18c1c3d32227120dd6c8fd;10009985;G2;816-455-8733
c463103909185ea26c839a1c280e4eb7368e0f2c278463d7a72dfa74c8f2db42;10013079;G2;816-455-8733
c28aa3a3cfe7e1619c09eaf1a84b80035bd35970f97c4a1cf90286d9f5a163cd;10019512;G2;816-455-8733
eab30e02f4d20cbeb942475b174aa2e2b7c1a11c2bf0b58505ed13eff606e9a5;10020192;G2;816-455-8733
7f15647be48645104feab6a0a71215663680ec65b5b51c7302e592b351ae2aff;10021470;G2;816-455-8733
ea423c668b85dddc054d24239fbcf076ff40f3127600a014ad8b1a6eacad4780;10025299;G3;816-455-8733
81d56186cf2e26264b331641d13e825e18e42300b6a0b14841eb36b18f00d802;10027370;G1;816-455-8733
b03f5cd015254b0231127059a3694542c85f0bcb0e99e07d1cb6d9c07065fc8f;10027560;G2;816-455-8733
1afa924f3a034b0ff024d2c2f5f66b68f66b2f5d319558fb1cfaaaf2b10245f6;10023241;G2;816-455-8733
654258772856354ba76da04ad3f359ec626abd0d3b08242972f8bc3209f9688b;10007117;G1;816-455-8733
31167725ad9217edc33110c6202d0436975b0e0bc5d11eda2586e8307d3a1081;10020340;G2;816-455-8733
7cff647c6503e66cea798f3278f696f77744fee43ac7def647308213c1c6d298;10021297;G2;816-455-8733
06d1e6724902ba1638b48c58f9d3ced5e6de019d4191894db23adae72c67ee5c;10026291;G2;816-455-8733
bfa31dc15c0b4be776ee00e3aa33985fa23556809fc8113c3c5cf8302f36a4ab;10000472;G2;816-455-8733
d955273f9f6e3df7e509ebe03c06c8b9b6134968a0355df979442866a2957647;10008893;G2;816-455-8733
fb96270e06fa212eeb8ce966e9ae76b1db98600046b3d9bb4861781c0d989b0c;10009863;G1;816-455-8733
055ba2d796953d4c25bff1803dde97cba26fbd208c012184f7ae5996c7e74a8d;10012158;G2;816-455-8733
b23dee60377f7b0d56a7eba55db9883de9d077db87f2ebd5bcdc9d5a49d07d23;10021006;G2;816-455-8733
3dca348c5bf96ffe2d7a89e28dde3ef76ec3430ed517a3e3d4c093cf1459bf4e;10023778;G2;816-455-8733
db39022e6e1cf076c48ead34122afc06da97697c3d1a79ef7bc54fc7ef78efa6;10007355;G2;816-455-8733
b8c085a1e44b91d23f7637a7ed8c57eac51373af4aa59dac8039c64ade5167a1;10013538;G2;816-455-8733
